client_id,gender,age,region,city,citizenship,education,job_type
7513301859607023584,F,33.0,0,115,RUSSIA,,
9157009756404187626,F,59.0,17,668,RUSSIA,,
-1893104556496814867,M,51.0,28,65,RUSSIA,,
6886062013213911831,F,56.0,0,40,RUSSIA,,
-8156468515495593794,F,34.0,-1,-1,RUSSIA,HIGHER_PROFESSIONAL,
-2918739578801888500,M,34.0,7,13,RUSSIA,HIGHER_PROFESSIONAL,
-4569470415387261653,M,55.0,19,27,RUSSIA,HIGHER_PROFESSIONAL,
497866795935220651,F,48.0,28,45,RUSSIA,HIGHER_PROFESSIONAL,
-2652197677327635516,M,46.0,30,46,RUSSIA,,
4830059491880827649,F,31.0,40,78,RUSSIA,,
-1093433514453846397,F,39.0,20,104,RUSSIA,MIDDLE_PROFESSIONAL,
-2342479391170694953,F,26.0,37,60,RUSSIA,,
-330127410754871235,M,47.0,2,3,RUSSIA,HIGHER_PROFESSIONAL,
2247869018080705329,F,33.0,37,2486,RUSSIA,MIDDLE_PROFESSIONAL,
-8220943058821961411,F,28.0,22,139,RUSSIA,MIDDLE_PROFESSIONAL,
-8339249258774556753,F,52.0,59,199,RUSSIA,HIGHER_PROFESSIONAL,
-6978705734346905157,M,45.0,13,275,RUSSIA,,
-308621990635499048,M,40.0,7,13,RUSSIA,,
-2289455184762967692,F,39.0,57,226,RUSSIA,,
3487861705076325187,F,51.0,7,13,RUSSIA,MIDDLE_PROFESSIONAL,
-3506296450266498598,M,32.0,5,6,RUSSIA,MIDDLE_PROFESSIONAL,
377141127543547866,M,60.0,1,1,RUSSIA,FULL_GENERAL,
-8079817404148237243,M,31.0,37,60,RUSSIA,,
-5924052245502407994,F,59.0,3,596,RUSSIA,FULL_GENERAL,
-6290602817115676905,M,44.0,47,128,RUSSIA,HIGHER_PROFESSIONAL,
-1490294173029062751,F,65.0,23,31,RUSSIA,HIGHER_PROFESSIONAL,
2897849887287086776,M,50.0,20,257,RUSSIA,MIDDLE_PROFESSIONAL,
-8072942284550731589,M,61.0,17,36,RUSSIA,MIDDLE_PROFESSIONAL,
-5194144570249411868,F,24.0,0,15,RUSSIA,,
5631944015950214052,F,56.0,9,123,RUSSIA,HIGHER_PROFESSIONAL,
